agent,agent_name,mean_n_plays,failed_words,mean_play_time
<class 'wordle.MaxInfoAgent'>,MaxInfoAgent,3.5995680345572354,[],0.2782488227662978
<class 'wordle.MaxSplitsAgent'>,MaxSplitsAgent,3.579697624190065,[],0.0691359368565273
<class 'wordle.MaxPruneAgent'>,MaxPruneAgent,4.275200989486704,"['sissy' 'awake' 'blush' 'focal' 'evade' 'naval' 'serve' 'dwarf' 'model'
 'grade' 'quiet' 'feign' 'major' 'pride' 'floss' 'staff' 'paper' 'whelp'
 'outdo' 'adobe' 'crazy' 'sower' 'cluck' 'pound' 'maxim' 'linen' 'flesh'
 'booby' 'forth' 'stand' 'belly' 'bribe' 'stout' 'panel' 'flick' 'wooer'
 'parry' 'start' 'golem' 'loopy' 'forge' 'salad' 'thumb' 'ought' 'belch'
 'jaunt' 'steed' 'fling' 'dozen' 'boozy' 'erode' 'world' 'gouge' 'click'
 'fixer' 'badly' 'smart' 'gaudy' 'chill' 'finer' 'wrote' 'clock' 'prove'
 'break' 'brake' 'craze' 'ferry' 'boost' 'banal' 'gorge' 'favor' 'proxy'
 'point' 'crimp' 'mount' 'perky' 'could' 'moist' 'shard' 'aloft' 'skill'
 'elder' 'pause' 'shake' 'dodge' 'trove' 'watch' 'today' 'tease' 'lynch'
 'allow' 'epoxy' 'found' 'shall' 'harry' 'lowly' 'snout' 'trope' 'fewer'
 'shawl' 'slave' 'shame' 'ample' 'foyer' 'zesty' 'story' 'canny' 'metal'
 'vouch' 'depth' 'flood' 'payer' 'goose' 'blown' 'awful' 'droll' 'gawky'
 'pinto' 'sever' 'field' 'fluff' 'agape' 'stead' 'stalk' 'roomy' 'flock'
 'bobby' 'trite' 'power' 'elope' 'upset' 'bluff' 'youth' 'smear' 'patty'
 'cling' 'poker' 'unlit' 'waste' 'woven' 'clown' 'prize' 'taunt' 'theme'
 'booze' 'thyme' 'doubt' 'stick' 'alike' 'sooth' 'scald' 'leave' 'howdy'
 'enjoy' 'valid' 'floor' 'grove' 'spiel' 'mummy' 'flout' 'photo' 'vomit'
 'hippy' 'folly' 'louse' 'godly' 'grave' 'shock' 'crave' 'valve' 'daddy'
 'aging' 'count' 'lover' 'funny' 'undue' 'swine' 'tough' 'udder' 'lunch'
 'paste' 'leaky' 'grind' 'loose' 'spilt' 'apple' 'slack' 'derby' 'spelt'
 'fairy' 'jiffy' 'filmy' 'chose' 'sleep' 'woozy' 'stank' 'prone' 'shade'
 'diner' 'onion' 'sleet' 'dowel' 'palsy' 'bowel' 'creek' 'award' 'goody'
 'frown' 'might' 'vapor' 'crock' 'write' 'slide' 'queer' 'stamp' 'aping'
 'pushy' 'swift' 'freer' 'plier' 'winch' 'savvy' 'pried' 'eater' 'kitty'
 'place' 'lobby' 'blink' 'clung' 'clink' 'flier' 'crook' 'vowel' 'snail'
 'flown' 'rabid' 'prose' 'poppy' 'dowdy' 'caddy' 'dumpy' 'swore' 'flyer'
 'doing' 'beset' 'cliff' 'edict' 'verse' 'whisk' 'spout' 'dying' 'buddy'
 'thump' 'scion' 'candy' 'crowd' 'dally' 'stung' 'tatty' 'shook' 'river'
 'frisk' 'weave' 'glove' 'scope' 'rover' 'slate' 'jolly' 'globe' 'flint'
 'relax' 'cover' 'alive' 'jetty' 'vocal' 'dolly' 'joker' 'ensue' 'diver'
 'poser' 'sweep' 'creed' 'bosom' 'dunce' 'outgo' 'sieve' 'block' 'grape'
 'hardy' 'crick' 'furor' 'geeky' 'aunty' 'furry' 'evict' 'demur' 'swear'
 'nudge' 'pitch' 'excel' 'stony' 'unzip' 'storm' 'taper' 'adopt' 'fatty'
 'brave' 'glint' 'guest' 'spore' 'hoist' 'inner' 'donut' 'stilt' 'dingo'
 'bread' 'dairy' 'brood' 'freak' 'fecal' 'shell' 'would' 'rabbi' 'bushy'
 'copse' 'swoon' 'pouch' 'snide' 'relay' 'straw' 'dilly' 'woody' 'blurb'
 'sassy' 'creep' 'graze' 'prong' 'steel' 'halve' 'adage' 'tasty' 'finch'
 'clove' 'snoop' 'party' 'touch' 'mafia' 'south' 'jelly' 'skulk' 'lower'
 'tardy' 'young' 'strap' 'swarm' 'offer' 'dryer' 'dryly' 'drank' 'heady'
 'pixie' 'quoth' 'shelf' 'worth' 'infer' 'mayor' 'prank' 'fishy' 'tooth'
 'drove' 'idler' 'aware' 'shift' 'steak' 'shirk' 'blunt' 'puppy' 'joist'
 'bunny' 'beget' 'stunt' 'topaz' 'fluke' 'afoot' 'bully' 'dense' 'avail'
 'droop' 'plate' 'afoul' 'savoy' 'steep' 'stake' 'shove' 'wager' 'debit'
 'skate' 'ninth' 'joust' 'medal' 'maple' 'comfy' 'least' 'meaty' 'grope'
 'swish' 'bevel' 'draft' 'slope' 'ditty' 'wider' 'deign' 'elide' 'pence'
 'rowdy' 'shoot' 'blaze' 'envoy' 'posse' 'never' 'mouse' 'skunk' 'scalp'
 'speed' 'dread' 'kappa' 'synod' 'faint' 'flour' 'plied' 'stoic' 'jerky'
 'beefy' 'below' 'bingo' 'wispy' 'sharp' 'radii' 'skull' 'upper' 'wight'
 'holly' 'decal' 'mover' 'defer' 'optic' 'vying' 'shark' 'obese' 'bugle'
 'pedal' 'windy' 'sally' 'jewel' 'whale' 'elbow' 'pansy' 'welsh' 'suave'
 'drake' 'shirt' 'oddly' 'plaid' 'dummy' 'broom' 'gazer' 'bride' 'hobby'
 'spunk' 'piper' 'scold' 'quake' 'joint' 'heavy' 'wield' 'shale' 'scent'
 'glade' 'spent' 'prism' 'riper' 'smirk' 'wrong' 'elate' 'hunch' 'puffy'
 'filly' 'billy' 'leash' 'clout' 'chili' 'paint' 'navel' 'flash' 'lease'
 'witty' 'spoof' 'salsa' 'thick' 'warty' 'spoon' 'probe' 'order' 'teeth'
 'juror' 'blood' 'abode' 'slept' 'sewer' 'spool' 'moody' 'annex' 'patch'
 'water' 'foist' 'harpy' 'scoop' 'hilly' 'apart' 'scale' 'quest' 'bound'
 'befit' 'drawn' 'opine' 'taste' 'lipid' 'topic' 'dizzy' 'brook' 'flunk'
 'scoff' 'covey' 'viper' 'vogue' 'booth' 'decoy' 'voila' 'eager' 'odder'
 'dress' 'ditch' 'flame' 'swoop' 'aloof' 'broke' 'leper' 'toxic' 'tripe'
 'krill' 'basil' 'proof' 'petal' 'pouty' 'fetal' 'spine' 'shout' 'leapt'
 'fever' 'waver' 'spark' 'sloop' 'expel' 'above' 'wafer' 'frill' 'awash'
 'scowl' 'drift' 'fence' 'wreak' 'revel' 'cello' 'flake' 'scout' 'pinky'
 'stave' 'fight' 'prawn' 'booty' 'twist' 'apnea' 'stiff' 'drone' 'toddy'
 'coven' 'stall' 'steam' 'nylon' 'flail' 'berry' 'cower' 'snipe' 'jumpy'
 'parka' 'livid' 'liken' 'gloss' 'gayer' 'wound' 'bulky' 'paddy' 'fizzy'
 'sappy' 'taker' 'ovine' 'frank' 'heave' 'lathe' 'alloy' 'taint' 'kinky'
 'mauve' 'flung' 'fried' 'quail' 'state' 'milky' 'bison' 'sandy' 'flask'
 'swash' 'coupe' 'endow' 'welch' 'blade' 'tight' 'cloud' 'close' 'droit'
 'biddy' 'smith' 'mower' 'drape' 'glaze' 'allot' 'testy' 'fully' 'bezel'
 'gooey' 'dully' 'eking' 'hurry' 'theft' 'wring' 'mamma' 'froze' 'newer'
 'moose' 'drown' 'guppy' 'union' 'lever' 'cabby' 'dopey' 'spear' 'crack'
 'latte' 'witch' 'repel' 'anvil' 'dried' 'punch' 'pasty' 'rapid' 'drive'
 'goofy' 'rider' 'quash' 'gummy' 'fudge' 'femur' 'alibi' 'petty' 'junta'
 'daunt' 'press' 'whose' 'stoop' 'eying' 'mossy' 'pinch' 'snowy' 'going'
 'blame' 'undid' 'basal' 'vaunt' 'adapt' 'willy' 'skirt' 'tepid' 'sleek'
 'twixt' 'flush' 'judge' 'rower' 'shave']",0.04494883074904933
