agent,agent_name,mean_n_plays,failed_words,mean_play_time
<class 'wordle.MaxInfoAgent'>,MaxInfoAgent,3.6415584415584417,['pound' 'hatch' 'found' 'poker' 'wight'],0.010421496758729349
<class 'wordle.MaxSplitsAgent'>,MaxSplitsAgent,3.6259211096662334,['pound' 'hatch' 'watch' 'found' 'cover' 'blank' 'boxer' 'wight'],0.007437066283637329
<class 'wordle.MaxPruneAgent'>,MaxPruneAgent,3.8301969365426696,"['cover' 'finch' 'boxer' 'jewel' 'foist' 'hilly' 'viper' 'expel' 'wafer'
 'flake' 'wound' 'right' 'corer' 'kinky' 'state' 'baste' 'tight' 'dully'
 'golly' 'stash' 'snore' 'hound' 'blame' 'vaunt' 'willy' 'match' 'catty'
 'roger' 'rower' 'shave']",0.007158837015832279
